Number,Type
1,"Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())), Ent(), Wgb(Set(Usd(Set(Ent())))))"
2,Set(Ent())
3,"Set(Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
4,"Set(Act(), Usd(Set(Ent())))"
5,"Set(Act(), Usd(Set(Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
6,"Set(Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
7,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Ent(), Wgb(Set(Usd(Set(Ent())))))"
8,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
9,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
10,"Set(Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
