Number,Type
11,"Set(Act(), Usd(Set(Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
12,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
13,"Set(Act(), Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
14,"Set(Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
15,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Ent(), Wgb(Set(Usd(Set(Ent())))))"
16,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
17,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Act())), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))"
18,"Set(Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Winvb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
19,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Act())), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Usd(Set(Ent())))))))), Ent(), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))"
20,"Set(Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
