Number,Type
21,"Set(Usd(Set(Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
22,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
23,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Winvb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))"
24,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Act())), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))"
25,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Ent(), Wgb(Set(Usd(Set(Ent())))))"
26,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wdf(Set(Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
27,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Act())), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))"
28,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Winvb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))"
29,"Set(Usd(Set(Winvb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
30,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wdf(Set(Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
31,"Set(Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
32,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Winvb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))"
33,"Set(Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
34,"Set(Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
35,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Winvb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))"
36,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wgb(Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Winvb(Set(Act())), Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Winvb(Set(Usd(Set(Wgb(Set(Act())), Winvb(Set(Act())), Wdf(Set(Ent()),Set(Act())))), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Act())), Winvb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))), Winvb(Set(Usd(Set(Ent())))))"
