Number,Type
1,"Set(Usd(Set(Prim(pgo:Player), Ent())), Act(), Prim(pgo:BallCollection), Usd(Set(Prim(pgo:Pokestop), Ent())))"
2,"Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))), Prim(pgo:Player), Ent())"
3,"Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent())), Act(), Prim(pgo:PokemonCapture))"
4,"Set(Prim(pgo:PokemonWeak), Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent())"
5,"Set(Usd(Set(Prim(pgo:Player), Ent())), Act(), Usd(Set(Prim(pgo:PokemonWeak), Ent())), Prim(pgo:PokemonCapture))"
6,"Set(Prim(pgo:PokemonStrong), Ent())"
7,"Set(Prim(pgo:Player), Ent())"
8,"Set(Prim(pgo:Pokestop), Ent())"
9,"Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Prim(pgo:Player), Ent())"
10,"Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Prim(pgo:PokemonNormal), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent())"
11,"Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))), Prim(pgo:Pokestop), Ent())"
12,"Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Prim(pgo:Player), Ent())"
13,"Set(Prim(pgo:PokemonStrong), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent())"
14,"Set(Usd(Set(Prim(pgo:Player), Ent())), Act(), Usd(Set(Prim(pgo:PokemonNormal), Ent())), Prim(pgo:PokemonCapture))"
15,"Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Prim(pgo:Player), Ent())"
16,"Set(Prim(pgo:PokemonWeak), Ent())"
17,"Set(Prim(pgo:PokemonNormal), Ent())"
18,"Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Prim(pgo:PokemonDispose), Act())), Wgb(Set(Prim(pgo:PokemonDispose), Act())), Prim(pgo:Player), Ent())"
19,"Set(Usd(Set(Prim(pgo:Player), Ent())), Prim(pgo:PokemonDispose), Act(), Usd(Set(Prim(pgo:PokemonWeak), Ent())))"
20,"Set(Usd(Set(Prim(pgo:Player), Ent())), Prim(pgo:PokemonDispose), Act(), Usd(Set(Prim(pgo:PokemonNormal), Ent())))"
21,"Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Winvb(Set(Prim(pgo:PokemonDispose), Act())), Prim(pgo:PokemonNormal), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent())"
22,"Set(Prim(pgo:PokemonWeak), Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Winvb(Set(Prim(pgo:PokemonDispose), Act())), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent())"
23,"Set(Prim(pgo:PokemonStrong), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Winvb(Set(Prim(pgo:PokemonDispose), Act())), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent())"
24,"Set(Usd(Set(Prim(pgo:Player), Ent())), Prim(pgo:PokemonDispose), Usd(Set(Prim(pgo:PokemonStrong), Ent())), Act())"
